site_id,transaction_id,user_id,vehicle_id,payment_status,vehicle_status,self_park,valet,entry_time,exit_time,price
497,799109,875020,851809,Payment Foregone,Picked Up,0,0,2020-09-30T19:00:13-05:00,2020-09-30T20:01:06-05:00,15
472,799110,875198,851915,Payment Not Required,Picked Up,1,0,2020-09-30T19:00:16-05:00,2020-09-30T21:09:42-05:00,0
493,799111,875201,851916,Payment Not Required,Picked Up,0,1,2020-09-30T19:00:57-05:00,2020-09-30T21:59:53-05:00,20
472,799112,875203,851919,Payment Not Required,Picked Up,1,0,2020-09-30T19:02:13-05:00,2020-09-30T21:52:42-05:00,0
472,799114,875204,851921,Payment Not Required,Picked Up,1,0,2020-09-30T19:03:02-05:00,2020-09-30T21:07:30-05:00,0
472,799115,530060,528818,Payment Not Required,Picked Up,1,0,2020-09-30T19:04:10-05:00,2020-09-30T21:18:14-05:00,0
472,799116,875205,851922,Payment Not Required,Picked Up,1,0,2020-09-30T19:04:35-05:00,2020-09-30T20:33:38-05:00,0
474,799117,778320,773131,Payment Not Required,Picked Up,1,0,2020-09-30T19:05:16-05:00,2020-10-01T07:09:55-05:00,0
474,799118,836815,823505,Payment Not Required,Picked Up,1,0,2020-09-30T19:05:22-05:00,2020-09-30T19:23:36-05:00,5
472,799119,875206,851923,Payment Not Required,Picked Up,1,0,2020-09-30T19:05:34-05:00,2020-09-30T21:03:19-05:00,0
473,799120,844913,829456,Payment Not Required,Picked Up,1,0,2020-09-30T19:05:59-05:00,2020-09-30T20:31:45-05:00,0
472,799121,844157,828897,Payment Not Required,Picked Up,1,0,2020-09-30T19:06:11-05:00,2020-09-30T20:04:50-05:00,0
474,799122,875210,851925,Payment Completed,Picked Up,1,0,2020-09-30T19:06:41-05:00,2020-09-30T21:35:22-05:00,25
474,799124,875212,851927,Payment Not Required,Picked Up,1,0,2020-09-30T19:07:29-05:00,2020-09-30T21:08:58-05:00,25
474,799125,875217,851928,Payment Not Required,Picked Up,1,0,2020-09-30T19:08:14-05:00,2020-09-30T21:29:25-05:00,25
472,799126,875214,851929,Payment Not Required,Picked Up,1,0,2020-09-30T19:08:27-05:00,2020-09-30T21:17:17-05:00,0
474,799127,875219,851931,Payment Not Required,Picked Up,1,0,2020-09-30T19:09:04-05:00,2020-09-30T21:29:42-05:00,25
474,799129,875218,851930,Payment Not Required,Picked Up,1,0,2020-09-30T19:08:40-05:00,2020-09-30T21:21:53-05:00,25
472,799130,859507,840035,Payment Not Required,Picked Up,1,0,2020-09-30T19:09:47-05:00,2020-09-30T19:45:51-05:00,0
472,799131,875220,851932,Payment Not Required,Picked Up,1,0,2020-09-30T19:10:01-05:00,2020-09-30T21:19:51-05:00,0
493,799132,875226,851935,Payment Not Required,Picked Up,0,1,2020-09-30T19:11:11-05:00,2020-09-30T22:03:29-05:00,20
495,799133,875225,851936,Payment Not Required,Picked Up,0,1,2020-09-30T19:11:18-05:00,2020-09-30T21:23:19-05:00,20
472,799134,875227,851937,Payment Not Required,Picked Up,1,0,2020-09-30T19:11:48-05:00,2020-09-30T20:48:38-05:00,0
